Stock Name,Ticker,Price,todayHigh,todayLow,52WeekHigh,Volume,ROC_Today,"ROC (5m, 12p)",Diff of ROC,actual_high,actual_low,future_high,future_low,is_high,is_low,gain,reverse_gain,date,slot
Indo Amines Ltd,INDOAMIN,134.09,134.9499969482422,119.4000015258789,176.25,581303,6.18,12.87,-6.68,134.9499969482422,119.4000015258789,134.38999938964844,126.5,1,1,0.3,7.59,2026-05-14,slot_2
Man Industries (india) Limited,MANINDS,559.8,565.9000244140625,538.4500122070312,570.0,332919,2.47,4.37,-1.9,565.9000244140625,538.4500122070312,562.0,544.6500244140625,1,1,2.2,15.15,2026-05-14,slot_2
Vedanta Limited,VEDL,335.3,335.9500122070312,325.1000061035156,795.0,15660389,2.04,4.0,-1.96,340.6499938964844,325.1000061035156,340.54998779296875,328.8500061035156,1,1,5.25,6.45,2026-05-14,slot_2
Diamond Power Infrastructure Ltd,DIACABS,182.5,186.0,174.5099945068359,186.0,3635541,1.68,4.28,-2.6,191.99000549316406,174.50999450683594,191.99000549316406,179.50999450683594,1,1,9.49,2.99,2026-05-14,slot_2
MTAR Technologies Ltd,MTARTECH,7371.0,7418.0,7027.5,7418.0,908840,1.66,8.11,-6.45,7730.0,7027.5,7727.0,7112.0,1,1,356.0,259.0,2026-05-14,slot_2
Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,510.8,511.6000061035156,499.0,573.75,306766,1.51,3.94,-2.42,521.7000122070312,499.0,521.6500244140625,507.6499938964844,1,1,10.85,3.15,2026-05-14,slot_2
Adani Enterprises Limited,ADANIENT,2622.9,2635.0,2530.0,2695.0,2820922,1.47,5.25,-3.78,2720.0,2530.0,2720.0,2612.10009765625,1,1,97.1,10.8,2026-05-14,slot_2
Jsw Steel Limited,JSWSTEEL,1302.0,1304.599975585938,1281.900024414062,1306.8,387707,1.43,2.2,-0.78,1306.0,1281.9000244140625,1305.5999755859375,1289.4000244140625,1,1,3.6,12.6,2026-05-14,slot_2
Balaji Amines Limited,BALAMINES,1623.4,1623.400024414062,1496.0,1945.0,794758,1.35,20.23,-18.88,1623.4000244140625,1496.0,1623.4000244140625,1596.0,0,1,0.0,27.4,2026-05-14,slot_2
Multi Commodity Exchange Of India Limited,MCX,3254.6,3273.89990234375,3210.0,3273.9,506724,1.29,1.89,-0.6,3364.0,3210.0,3364.0,3222.0,1,1,109.4,32.6,2026-05-14,slot_2
Hindalco Industries Limited,HINDALCO,1095.8,1098.0,1080.900024414062,1098.0,860640,1.16,2.24,-1.07,1105.0,1080.9000244140625,1105.0,1092.0,1,1,9.2,3.8,2026-05-14,slot_2
Sai Life Sciences Ltd,SAILIFE,1122.2,1138.199951171875,1100.0,1139.4,272292,1.13,3.85,-2.72,1138.9000244140625,1100.0,1138.9000244140625,1104.0,1,1,16.7,18.2,2026-05-14,slot_2
Bandhan Bank Ltd,BANDHANBNK,198.79,200.8500061035156,195.25,212.66,1979945,0.84,1.85,-1.0,200.85000610351562,194.58999633789062,199.9499969482422,194.58999633789062,1,1,1.16,4.2,2026-05-14,slot_2
R R Kabel Ltd,RRKABEL,2033.5,2040.0,1967.800048828125,2040.0,288654,0.84,3.52,-2.69,2049.0,1919.0,2049.0,1920.0,1,1,15.5,113.5,2026-05-14,slot_2
Steel Authority Of India Limited,SAIL,205.53,209.6999969482422,201.5,209.7,15498067,0.64,2.73,-2.08,209.6999969482422,198.5500030517578,205.4499969482422,198.5500030517578,0,1,-0.08,6.98,2026-05-14,slot_2
Pondy Oxides & Chemicals Ltd,POCL,1571.7,1619.0,1477.300048828125,1619.0,751309,0.46,8.02,-7.55,1619.0,1477.300048828125,1555.0,1493.0,0,1,-16.7,78.7,2026-05-14,slot_2
BSE (Bombay stock exchange) Ltd,BSE,3968.1,3986.0,3917.199951171875,3994.0,842147,0.41,1.96,-1.55,4065.0,3917.199951171875,4065.0,3940.0,1,1,96.9,28.1,2026-05-14,slot_2
Oil & Natural Gas Corporation Limited,ONGC,301.45,302.9500122070312,298.7000122070312,307.5,3432667,0.28,1.7,-1.42,303.70001220703125,298.70001220703125,303.70001220703125,300.0,1,1,2.25,1.45,2026-05-14,slot_2
GE Power India Ltd,GVPIL,740.05,740.0499877929688,715.0,740.05,108433,0.28,4.99,-4.72,740.0499877929688,690.0499877929688,740.0499877929688,690.0499877929688,0,1,-0.0,50.0,2026-05-14,slot_2
Nippon Life India Asset Management Ltd,NAM-INDIA,1087.0,1095.5,1063.300048828125,1117.9,146927,0.19,1.97,-1.78,1095.5,1060.0999755859375,1095.0,1060.0999755859375,1,1,8.0,26.9,2026-05-14,slot_2
Aurobindo Pharma Limited,AUROPHARMA,1521.0,1525.900024414062,1504.0,1525.9,240929,0.03,0.89,-0.85,1525.9000244140625,1497.0,1515.5999755859375,1498.0,0,1,-5.4,23.0,2026-05-14,slot_2
Usha Martin Limited,USHAMART,486.75,489.3999938964844,477.8999938964844,497.1,168569,-0.2,1.63,-1.82,489.3999938964844,474.3500061035156,483.25,474.3500061035156,0,1,-3.5,12.4,2026-05-14,slot_2
Adani Green Energy Ltd,ADANIGREEN,1405.2,1424.099975585938,1376.800048828125,1424.1,1225565,-0.28,2.62,-2.9,1424.0999755859375,1376.800048828125,1422.0,1383.0999755859375,1,1,16.8,22.1,2026-05-14,slot_2
Bombay Burmah Trading Corporation Limited,BBTC,1531.8,1564.800048828125,1521.900024414062,2155.0,75838,-0.32,3.01,-3.33,1564.800048828125,1492.0999755859375,1542.699951171875,1494.300048828125,1,1,10.9,37.5,2026-05-14,slot_2
Nlc India Limited,NLCINDIA,363.4,374.0,348.0,374.0,22665765,-0.37,11.93,-12.3,387.79998779296875,348.0,387.79998779296875,360.0,1,1,24.4,3.4,2026-05-14,slot_2
Oil India Limited,OIL,520.4,531.0,516.6500244140625,531.0,5512850,-0.61,3.23,-3.83,531.0,514.5999755859375,524.2000122070312,514.75,1,1,3.8,5.65,2026-05-14,slot_2
Adani Ports And Special Economic Zone Limited,ADANIPORTS,1763.3,1778.099975585938,1753.199951171875,1792.0,604253,-0.68,0.98,-1.66,1782.5,1745.4000244140625,1782.5,1746.300048828125,1,1,19.2,17.0,2026-05-14,slot_2
Adf Foods Limited,ADFFOODS,285.8,301.6499938964844,283.75,301.65,525048,-0.76,4.83,-5.6,301.6499938964844,268.79998779296875,285.5,268.79998779296875,0,1,-0.3,17.0,2026-05-14,slot_2
Antelopus Selan Energy Ltd,ANTELOPUS,769.0,789.9000244140625,768.0,789.9,111728,-1.66,2.26,-3.92,789.9000244140625,732.1500244140625,769.7999877929688,733.0499877929688,1,1,0.8,35.95,2026-05-14,slot_2
CARE Ratings Ltd,CARERATING,1725.0,1787.199951171875,1690.0,1964.0,152866,-1.76,6.63,-8.39,1787.199951171875,1690.0,1769.5,1707.699951171875,1,1,44.5,17.3,2026-05-14,slot_2
Metropolis Healthcare Ltd,METROPOLIS,560.95,600.0,559.0999755859375,600.0,1182612,-2.1,2.76,-4.86,600.0,532.0,560.0,532.0999755859375,0,1,-0.95,28.85,2026-05-14,slot_2
Bhagyanagar India,BHAGYANGR,343.6,351.8999938964844,339.0,351.9,84398,-2.23,1.01,-3.24,351.8999938964844,321.0,351.0,321.0,1,1,7.4,22.6,2026-05-14,slot_2
Smartlink Network Systems Limited,SMARTLINK,186.5,199.0,182.0,199.0,219429,-2.69,3.9,-6.59,199.0,178.3000030517578,198.0,178.30999755859375,1,1,11.5,8.19,2026-05-14,slot_2
Wheels India Limited,WHEELS,1581.0,1610.0,1477.199951171875,1610.0,569108,4.47,10.05,-5.58,1657.699951171875,1477.199951171875,1656.800048828125,1548.0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,75.8,33.0,2026-05-18,slot_2
The Great Eastern Shipping Company Limited,GESHIP,1647.8,1653.0,1533.900024414062,1653.0,1775602,3.91,8.5,-4.59,1730.0,1533.9000244140625,1727.5,1660.9000244140625,,,,,,,,,,,,,,,,,,,,,,,,,1,0,79.7,-13.1,2026-05-18,slot_2
Vijaya Diagnostic Centre Ltd,VIJAYA,1365.8,1374.0,1321.599975585938,1379.3,91060,2.31,5.53,-3.22,1374.0,1293.800048828125,1371.699951171875,1294.0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5.9,71.8,2026-05-18,slot_2
Senores Pharmaceuticals Ltd,SENORES,1097.05,1108.449951171875,1048.0,1108.45,228911,1.67,5.66,-4.0,1194.4000244140625,1048.0,1194.0,1100.9000244140625,,,,,,,,,,,,,,,,,,,,,,,,,1,0,96.95,-3.85,2026-05-18,slot_2
Carborundum Universal Limited,CARBORUNIV,1143.3,1164.900024414062,1090.0,1164.9,414038,1.43,4.24,-2.81,1166.4000244140625,1090.0,1154.0,1093.300048828125,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10.7,50.0,2026-05-18,slot_2
Gland Pharma Ltd,GLAND,2097.0,2129.10009765625,2034.0,2131.0,1777529,1.08,12.22,-11.14,2207.0,2034.0,2195.10009765625,2097.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,1,0,98.1,-0.8,2026-05-18,slot_2
Arvind Limited,ARVIND,462.4,469.0,445.0,469.0,1198330,0.51,2.61,-2.1,483.0,445.0,482.95001220703125,452.70001220703125,,,,,,,,,,,,,,,,,,,,,,,,,1,1,20.55,9.7,2026-05-18,slot_2
BSE (Bombay stock exchange) Ltd,BSE,3996.9,4007.60009765625,3940.0,4084.0,632182,0.49,-0.31,0.8,4134.0,3940.0,4133.2998046875,3986.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,1,1,136.4,10.7,2026-05-18,slot_2
Syngene International Limited,SYNGENE,460.45,466.3500061035156,453.75,728.6,234912,0.22,1.55,-1.33,469.54998779296875,453.75,469.25,458.79998779296875,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8.8,1.65,2026-05-18,slot_2
Mirae Asset NYSE FANG+ ETF,MAFANG,197.89,197.8899993896484,196.0,197.89,419365,0.19,0.76,-0.57,197.88999938964844,196.0,197.88999938964844,197.88999938964844,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.0,0.0,2026-05-18,slot_2
Sun Pharmaceuticals Industries Limited,SUNPHARMA,1872.4,1878.199951171875,1865.0,1887.9,244771,0.08,-0.56,0.64,1911.0,1865.0,1911.0,1872.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,1,0,38.6,-0.4,2026-05-18,slot_2
Kotak Nifty 1D Rate Liquid ETF,LIQUID1,1104.71,1106.75,1104.579956054688,1136.18,86234,0.01,0.01,0.0,1106.75,1104.5799560546875,1104.72998046875,1104.7099609375,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.02,0.0,2026-05-18,slot_2
Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE,114.1,114.120002746582,114.0999984741211,114.12,3348350,0.01,0.01,0.0,114.12000274658203,114.0999984741211,114.12000274658203,114.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.02,0.0,2026-05-18,slot_2
Nippon India ETF Liquid BeES,LIQUIDBEES,999.99,1000.010009765625,995.0,1029.99,299270,0.0,0.0,0.0,1000.010009765625,995.0,1000.010009765625,999.989990234375,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.02,0.0,2026-05-18,slot_2
Motilal Oswal NASDAQ 100 ETF,MON100,331.62,331.6199951171875,322.0,331.62,899515,0.0,0.78,-0.78,331.6199951171875,322.0,331.6199951171875,331.6199951171875,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.0,0.0,2026-05-18,slot_2
Groww Nifty 1D Rate Liquid ETF,GROWWLIQID,109.1,109.0999984741211,109.0899963378906,110.9,229317,0.0,0.02,-0.02,109.0999984741211,109.08999633789062,109.0999984741211,109.08999633789062,,,,,,,,,,,,,,,,,,,,,,,,,0,1,-0.0,0.01,2026-05-18,slot_2
Sakar Healthcare Ltd,SAKAR,763.45,779.7000122070312,731.7000122070312,779.7,469636,-0.03,10.92,-10.95,794.0,731.7000122070312,791.7999877929688,738.25,,,,,,,,,,,,,,,,,,,,,,,,,1,1,28.35,25.2,2026-05-18,slot_2
Aurobindo Pharma Limited,AUROPHARMA,1510.1,1525.0,1505.900024414062,1528.0,144821,-0.71,-0.43,-0.28,1525.0,1491.5999755859375,1510.300048828125,1492.4000244140625,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.2,17.7,2026-05-18,slot_2
Pace Digitek Ltd,PACEDIGITK,179.57,183.6999969482422,177.5200042724609,231.95,777899,-1.65,-0.56,-1.09,183.6999969482422,173.33999633789062,178.8000030517578,173.33999633789062,,,,,,,,,,,,,,,,,,,,,,,,,0,1,-0.77,6.23,2026-05-18,slot_2
Solar Industries India Limited,SOLARINDS,17421.0,17950.0,17227.0,17950.0,156860,-2.55,1.27,-3.82,18089.0,17227.0,18086.0,17366.0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,665.0,55.0,2026-05-18,slot_2
Valiant Organics Ltd,VALIANTORG,316.65,329.5,306.0499877929688,507.8,307358,-5.27,3.43,-8.7,329.5,296.5,314.0,296.8999938964844,,,,,,,,,,,,,,,,,,,,,,,,,0,1,-2.65,19.75,2026-05-18,slot_2
Wheels India Limited,WHEELS,1581.0,1610.0,1477.199951171875,1610.0,569108,4.47,10.05,-5.58,1657.699951171875,1477.199951171875,1656.800048828125,1548.0,1,1,75.8,33.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
The Great Eastern Shipping Company Limited,GESHIP,1647.8,1653.0,1533.900024414062,1653.0,1775602,3.91,8.5,-4.59,1730.0,1533.9000244140625,1727.5,1660.9000244140625,1,0,79.7,-13.1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Vijaya Diagnostic Centre Ltd,VIJAYA,1365.8,1374.0,1321.599975585938,1379.3,91060,2.31,5.53,-3.22,1374.0,1293.800048828125,1371.699951171875,1294.0,1,1,5.9,71.8,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Senores Pharmaceuticals Ltd,SENORES,1097.05,1108.449951171875,1048.0,1108.45,228911,1.67,5.66,-4.0,1194.4000244140625,1048.0,1194.0,1100.9000244140625,1,0,96.95,-3.85,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Carborundum Universal Limited,CARBORUNIV,1143.3,1164.900024414062,1090.0,1164.9,414038,1.43,4.24,-2.81,1166.4000244140625,1090.0,1154.0,1093.300048828125,1,1,10.7,50.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Gland Pharma Ltd,GLAND,2097.0,2129.10009765625,2034.0,2131.0,1777529,1.08,12.22,-11.14,2207.0,2034.0,2195.10009765625,2097.800048828125,1,0,98.1,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Arvind Limited,ARVIND,462.4,469.0,445.0,469.0,1198330,0.51,2.61,-2.1,483.0,445.0,482.95001220703125,452.70001220703125,1,1,20.55,9.7,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
BSE (Bombay stock exchange) Ltd,BSE,3996.9,4007.60009765625,3940.0,4084.0,632182,0.49,-0.31,0.8,4134.0,3940.0,4133.2998046875,3986.199951171875,1,1,136.4,10.7,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Syngene International Limited,SYNGENE,460.45,466.3500061035156,453.75,728.6,234912,0.22,1.55,-1.33,469.54998779296875,453.75,469.25,458.79998779296875,1,1,8.8,1.65,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Mirae Asset NYSE FANG+ ETF,MAFANG,197.89,197.8899993896484,196.0,197.89,419365,0.19,0.76,-0.57,197.88999938964844,196.0,197.88999938964844,197.88999938964844,0,0,-0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Sun Pharmaceuticals Industries Limited,SUNPHARMA,1872.4,1878.199951171875,1865.0,1887.9,244771,0.08,-0.56,0.64,1911.0,1865.0,1911.0,1872.800048828125,1,0,38.6,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Kotak Nifty 1D Rate Liquid ETF,LIQUID1,1104.71,1106.75,1104.579956054688,1136.18,86234,0.01,0.01,0.0,1106.75,1104.5799560546875,1104.72998046875,1104.7099609375,1,0,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE,114.1,114.120002746582,114.0999984741211,114.12,3348350,0.01,0.01,0.0,114.12000274658203,114.0999984741211,114.12000274658203,114.0999984741211,1,0,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Nippon India ETF Liquid BeES,LIQUIDBEES,999.99,1000.010009765625,995.0,1029.99,299270,0.0,0.0,0.0,1000.010009765625,995.0,1000.010009765625,999.989990234375,1,0,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Motilal Oswal NASDAQ 100 ETF,MON100,331.62,331.6199951171875,322.0,331.62,899515,0.0,0.78,-0.78,331.6199951171875,322.0,331.6199951171875,331.6199951171875,0,0,-0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Groww Nifty 1D Rate Liquid ETF,GROWWLIQID,109.1,109.0999984741211,109.0899963378906,110.9,229317,0.0,0.02,-0.02,109.0999984741211,109.08999633789062,109.0999984741211,109.08999633789062,0,1,-0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Sakar Healthcare Ltd,SAKAR,763.45,779.7000122070312,731.7000122070312,779.7,469636,-0.03,10.92,-10.95,794.0,731.7000122070312,791.7999877929688,738.25,1,1,28.35,25.2,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Aurobindo Pharma Limited,AUROPHARMA,1510.1,1525.0,1505.900024414062,1528.0,144821,-0.71,-0.43,-0.28,1525.0,1491.5999755859375,1510.300048828125,1492.4000244140625,1,1,0.2,17.7,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Pace Digitek Ltd,PACEDIGITK,179.57,183.6999969482422,177.5200042724609,231.95,777899,-1.65,-0.56,-1.09,183.6999969482422,173.33999633789062,178.8000030517578,173.33999633789062,0,1,-0.77,6.23,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Solar Industries India Limited,SOLARINDS,17421.0,17950.0,17227.0,17950.0,156860,-2.55,1.27,-3.82,18089.0,17227.0,18086.0,17366.0,1,1,665.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
Valiant Organics Ltd,VALIANTORG,316.65,329.5,306.0499877929688,507.8,307358,-5.27,3.43,-8.7,329.5,296.5,314.0,296.8999938964844,0,1,-2.65,19.75,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_2
